dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,icq,nof,nom,wmc,gc,rb
1,0,2,-1.0,0.0,2,0,0,0,0,0,2,0,0
1,0,0,0.0,0.0,17,0,1,0,0,3,11,0,0
1,0,0,0.0,0.0,9,0,0,1,0,2,2,0,0
1,0,0,0.0,1.0,9,0,0,0,2,2,2,0,0
2,0,4,0.0,0.0,75,0,4,0,0,13,13,0,0
3,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,14,0.0,0.42857143,64,0,21,0,1,7,15,0,0
4,2,6,0.0,0.0,20,0,8,0,0,4,7,0,0
1,0,1,,0.0,9,0,0,0,0,1,1,0,0
3,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,4,3,0.0,0.071428575,26,2,6,0,2,7,7,0,0
1,0,0,,0.0,13,0,0,1,0,1,1,0,0
1,0,0,,,7,0,0,0,1,0,2,0,0
2,9,5,0.0,0.7111112,62,4,16,0,5,9,15,0,0
1,2,3,0.0,0.5625,32,0,2,0,2,8,11,0,0
1,1,2,-1.0,0.6666667,18,0,0,0,3,1,1,0,0
5,2,4,0.0,0.0,14,0,6,0,0,3,3,0,0
4,2,8,0.0,0.825,117,0,23,0,4,10,42,0,0
1,0,2,0.0,0.5,24,0,3,0,3,4,6,0,0
3,1,9,0.0,0.1,108,0,25,1,1,10,16,0,0
4,1,7,0.0,0.33333334,64,0,17,1,1,3,12,0,0
1,0,0,0.0,0.6666667,18,0,0,0,2,3,3,0,0
4,2,8,0.0,0.75,47,0,17,0,1,4,12,0,0
2,0,6,0.0,0.0,30,0,7,0,0,5,5,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,4,0.0,0.0,14,0,4,0,0,2,2,0,0
4,2,5,0.0,0.78571427,34,0,10,0,2,7,9,0,0
2,0,8,0.0,0.0,47,0,13,0,1,5,8,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,1,1,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
2,0,5,0.0,0.0,25,0,4,0,1,5,5,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,-1.0,,8,0,0,0,1,0,0,0,0
1,1,1,,0.0,16,0,4,0,0,1,4,0,0
1,3,1,0.0,0.875,94,0,9,0,4,16,31,0,0
2,0,4,0.0,0.0,14,0,5,0,0,2,2,0,0
1,5,0,0.0,0.0,8,0,0,0,0,6,6,0,0
2,0,6,0.0,0.0,126,0,6,0,1,26,26,0,0
3,1,6,0.0,0.0,35,0,13,0,0,4,12,0,0
4,1,3,0.0,0.6666667,18,0,5,0,2,3,4,0,0
1,0,0,,0.0,21,0,0,0,0,1,6,0,0
3,2,5,0.0,0.0,24,0,7,0,0,7,7,0,0
1,1,0,-1.0,0.0,35,0,0,4,0,0,0,0,0
3,2,4,0.0,0.0,8,0,0,0,0,2,2,0,0
1,0,5,0.0,0.0,71,0,10,0,0,9,12,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,,0.0,6,0,0,0,0,2,2,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,6,0,0,1,0,0,0,0,0
1,0,9,0.0,0.5555556,36,0,4,0,3,6,14,0,0
1,3,0,0.0,0.0,6,0,0,0,0,4,4,0,0
4,2,7,0.0,0.0,43,0,9,0,0,4,18,0,0
1,0,3,0.0,0.0,67,0,4,0,0,6,22,0,0
1,0,0,,0.0,17,0,0,0,0,1,6,0,0
1,0,0,-1.0,0.0,4,0,0,1,0,0,0,0,0
1,0,1,0.0,0.33333334,13,0,0,0,1,3,4,0,0
4,2,4,0.0,0.5,21,0,4,0,1,4,7,0,0
3,1,1,0.0,0.0,10,0,2,0,0,3,3,0,0
3,2,8,0.0,0.0,57,0,22,0,0,10,19,0,0
1,0,0,-1.0,,10,0,0,0,8,0,0,0,0
3,1,7,0.0,0.0,11,0,2,0,0,2,4,0,0
5,2,6,0.0,0.8333333,37,0,7,0,1,6,10,0,0
1,0,0,-1.0,0.0,4,0,0,1,0,0,0,0,0
1,0,0,,0.0,44,0,0,0,0,1,11,0,0
2,0,4,0.0,0.45000002,27,0,4,0,4,5,8,0,0
5,2,9,0.0,0.87619054,93,0,31,0,7,15,27,0,0
4,2,5,0.0,0.0,53,0,10,0,0,4,19,0,0
1,22,10,0.0,0.81428576,79,3,13,0,5,14,21,0,0
4,2,21,0.0,0.8823529,156,0,52,0,7,17,32,0,0
4,2,13,0.0,0.7272727,86,0,35,0,4,11,30,0,0
4,3,8,0.0,0.72727275,88,0,14,1,4,11,23,0,0
